sites_ID;Country;State;Municipality;Study Location;Latitude;Longitude;Precision;Reserve_Area;Altitude;Altitude1km;A_mean_temp;A_rainfall;Olsong200r;Olsoneconame;Ribeirovegtype;BSRs
bor1001;Brazil;RIO GRANDE DO SUL;MAQUINE;Maquine;-29.58333333;-50.26666667;13000;NA;100-300;305;18.68;1568;Atlantic Forests;Araucaria moist forests;Floresta Ombrofila Mista;Florestas de Araucaria
bor1002;Brazil;RIO GRANDE DO SUL;SAO FRANCISCO DE PAULA;Floresta Nacional de Sao Francisco de Paula;-29.423669;-50.386914;2200;1615;900;917;14.94;2083;Atlantic Forests;Araucaria moist forests;Estepe;Florestas de Araucaria
bor1003;Brazil;RIO GRANDE DO SUL;SANTA MARIA;Santa Maria;-29.747514;-53.838197;30;NA;50-100;99;19.86;1665;NA;Uruguayan savanna;Areas de Tensao Ecologica;Florestas de Interior
bor1004;Brazil;PARANA;CURITIBA;Curitiba;-25.3;-49.36666667;12000;NA;850-1000;956;16.69;1641;Atlantic Forests;Araucaria moist forests;Floresta Ombrofila Mista;Florestas de Araucaria
bor1005;Brazil;PARANA;LONDRINA;Londrina;-23.306445;-51.170618;Not Precise;NA;500-600;571;20.65;1598;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1006;Brazil;PARANA;GUARAPUAVA;Guarapuava;-25.40222222;-51.42111111;10;NA;900-1200;936;16.4;1691;Atlantic Forests;Araucaria moist forests;Savana;Florestas de Araucaria
bor1007;Brazil;PARANA;MARINGA;Maringa;-23.43555556;-51.94305556;10;NA;500-550;442;18.3;1256;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1008;Brazil;PARANA;DIAMANTE DO NORTE;Estacao Ecologica do Caiua;-22.61833333;-52.85666667;10;1427.3;250-300;280;22.21;1202;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Semidecidual;Florestas de Interior
bor1009;Brazil;RIO GRANDE DO SUL;PORTO MAUA;Porto Maua;-27.51666667;-54.66666667;10;NA;200-250;139;20.39;1763;Atlantic Forests;Alto Parana Atlantic forests;Floresta Estacional Decidual;Florestas de Interior
bor1010;Brazil;PARANA;BALSA NOVA;Sao Luiz do Puruna;-25.76027778;-50.17777778;10;NA;1100;803;17.2;1431;Atlantic Forests;Araucaria moist forests;Floresta Ombrofila Mista;Florestas de Araucaria
bor1011;Brazil;PARANA;FOZ DO IGUACU;Parque Nacional do Iguacu;-25.15444444;-53.84194444;10;169695.8808;500-750;609;18.51;1889;Atlantic Forests;Araucaria moist forests;Floresta Estacional Semidecidual;Florestas de Araucaria
bor1012;Brazil;SANTA CATARINA;FLORIANOPOLIS;Parque Estadual da Serra do Tabuleiro and Florian�polis;-27.68583333;-48.82222222;30;84130;30-400;178;19.56;1561;Atlantic Forests;Araucaria moist forests;Floresta Ombrofila Mista;Florestas de Araucaria
bor1013;Brazil;SANTA CATARINA;BLUMENAU;Blumenau;-26.974148;-49.117766;10;NA;300-400;161;18.78;1663;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1014;Brazil;SANTA CATARINA;JOINVILLE;Joinville;-26.351116;-48.820565;Not Precise;NA;50-100;164;20.75;1744;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1015;Brazil;SANTA CATARINA;JARAGUA DO SUL;Jaragua do Sul;-26.496003;-49.121083;Not Precise;NA;50-100;262;20.32;1608;Atlantic Forests;Serra do Mar coastal forests;Floresta Ombrofila Densa;Serra do Mar
bor1016;Brazil;SANTA CATARINA;AGROLANDIA;Agrolandia;-27.456714;-49.842142;30;NA;550-600;844;17.2;1573;Atlantic Forests;Araucaria moist forests;Floresta Ombrofila Mista;Florestas de Araucaria
