sites_ID;Class;Order;Family;Subfamily;Tribe;Genus;Species;Species Authors;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_aega;(H�bner, [1822]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_portis;(H�bner, [1821]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_anaxibia;(Esper, [1801]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_hercules;(Dalman, 1823);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_epistrophus;(Fabricius, 1796);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Morphini;Morpho;Morpho_helenor;(Cramer, 1776);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Brassolis;Brassolis_sophorae;(Linnaeus, 1758);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Dynastor;Dynastor_darius;(Fabricius, 1775);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Narope;Narope_cyllene;C. Felder & R. Felder, 1859;;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Elymniini;Manataria;Manataria_hercyna;(H�bner, [1821]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Opsiphanes;Opsiphanes_invirae;(H�bner, [1808]);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Opsiphanes;Opsiphanes_quiteria;(Stoll, 1780);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Opsiphanes;Opsiphanes_cassiae;(Linnaeus, 1758);;;;;;;
bor1048;Insecta;Lepidoptera;Nymphalidae;Satyrinae;Brassolini;Blepolenis;Blepolenis_batea;(H�bner, [1821]);;;;;;;
